,img_ID,artist,height,width,whitespace,chiaroscuro,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10
1214,223637,hokusai,250,366,0.4,0.3873,#FFFFFF,#003F7F,#BFBFBF,#7F7F3F,#3F3F3F,#00003F,#7FBFBF,#BFBF7F,#BF7F7F,#007FBF
1215,223638,hokusai,250,376,0.39894,0.20915,#FFFFBF,#003F7F,#7FBF7F,#3F7FBF,#000000,#3F3F3F,#7FBFBF,#3F7F7F,#003F3F,#00003F
1216,223640,hokusai,250,195,0.39795,0.54039,#FFFFBF,#3F3F3F,#BFBF7F,#7F7F7F,#FFBFBF,#FFBF7F,#7F7F3F,#3F0000,#BF7F7F,#BF7F3F
1217,223641,hokusai,250,379,0.39894,0.08537,#FFFFBF,#3F3F3F,#7F7F7F,#BFBFBF,#FF7F3F,#00003F,#00003F,#7FBFBF,#3F7FBF,#00007F
1218,223646,hokusai,250,330,0.39879,0.0218,#3F003F,#BFBFBF,#BF7F00,#FFFFFF,#000000,#FFBF3F,#3F3F3F,#FFFFBF,#7FBFBF,#7F0000
1220,223648,hokusai,250,641,0.39938,0.23197,#BFBFBF,#7F7F7F,#3F3F3F,#7F7F3F,#FFFFFF,#000000,#7F3F00,#BF7F7F,#7FBFBF,#BFBF7F
1221,223649,hokusai,250,365,0.4,0.21649,#7F7F3F,#BFBF7F,#FFBFBF,#3F3F3F,#FFFFBF,#FFBF7F,#000000,#7F7F7F,#FFFFFF,#3F3F3F
1223,223652,hokusai,250,371,0.39892,0.08386,#FFBF7F,#3F3F3F,#BFBF7F,#FFFFBF,#7F7F7F,#BFBFBF,#00003F,#3F003F,#FFFF7F,#7F7F3F
1224,223656,hokusai,250,136,0.39706,0.12431,#FFBF7F,#3F3F00,#BFBF7F,#7F7F3F,#FFBFBF,#BF7F7F,#000000,#7F3F3F,#BFBFBF,#7F7F7F
1225,223659,hokusai,250,336,0.39881,0.10182,#BF7F7F,#3F3F3F,#FFFFFF,#BFBFBF,#7F7F7F,#000000,#FFFFBF,#BFBF7F,#FFBFBF,#7F7F3F
1226,223660,hokusai,250,217,0.39816,0.04548,#7F3F3F,#FFFFBF,#3F0000,#BF7F3F,#FFBF7F,#7F0000,#3F3F00,#3F0000,#BFBF7F,#7F7F3F
1230,223665,hokusai,250,404,0.39901,0.37947,#FFFFFF,#BFBFBF,#7F7F3F,#FFFFBF,#3F3F00,#FFBFBF,#BFBF7F,#00003F,#7F7F7F,#BF7F7F
1232,184974,kahlo,250,190,0.39789,0.01814,#3F003F,#FF7F3F,#3F0000,#7F3F3F,#FFBF7F,#3F3F00,#3F3F3F,#7F3F00,#BF7F3F,#FFFF7F
1233,184947,kahlo,250,216,0.39815,0.04007,#3F3F3F,#3F003F,#FFBF7F,#7F7F3F,#3F003F,#7F3F3F,#3F3F3F,#FFFFBF,#7F7F7F,#BF7F7F
1234,184959,kahlo,250,166,0.39759,0.01385,#003F00,#7F7F7F,#3F0000,#3F3F3F,#FFFFBF,#7F3F3F,#7F7F3F,#FFBF7F,#BF7F3F,#3F3F00
1235,184946,kahlo,250,165,0.39758,0.07984,#BF7F3F,#3F3F3F,#FFFF7F,#BF3F3F,#000000,#FFBF3F,#FF3F3F,#FF7F3F,#7F3F3F,#3F7F3F
1236,184949,kahlo,250,187,0.39786,0.21017,#BFBFBF,#7F3F3F,#FFFFBF,#FFBF7F,#7F7F3F,#FFBFBF,#FFFFFF,#BFBF7F,#000000,#FFFF7F
1237,184956,kahlo,250,201,0.39801,0.01768,#3F3F00,#7F7F7F,#BFBFBF,#3F0000,#3F3F3F,#FFFFFF,#BFBFFF,#BF7FBF,#7F3F7F,#FFBFFF
1238,184965,kahlo,250,193,0.4,0.03108,#3F3F3F,#FFFFFF,#FFBF3F,#3F003F,#7F7F7F,#BF7F3F,#3F3F3F,#7F3F3F,#FFBF7F,#3F3F3F
1239,185003,kahlo,250,556,0.39928,0.0611,#BF7F7F,#3F3F00,#BFBF7F,#BF7F3F,#3F0000,#FFFFBF,#7F3F00,#FFBF7F,#7FBFBF,#3F0000
1240,185015,kahlo,250,184,0.39783,0.04664,#000000,#7FBF3F,#003F7F,#BFBF3F,#3F7F3F,#3F3F3F,#7F7F3F,#BFFFFF,#FFBF3F,#3F3F00
1241,184948,kahlo,250,167,0.3976,0.01229,#3F3F3F,#BFBFBF,#000000,#FFFFFF,#7F7F3F,#BFBF7F,#3F7F7F,#3F3F3F,#3F3F3F,#FFFFBF
1242,184966,kahlo,250,202,0.4,0.53723,#003F3F,#BFBF7F,#BF7F3F,#FFBFBF,#3F3F00,#7F3F00,#3F3F7F,#FFBF3F,#FFBF7F,#FFFFFF
1243,184926,kahlo,250,193,0.39793,0.55172,#BFBF7F,#3F3F3F,#FF3F3F,#BF7F7F,#7F3F3F,#7F7F7F,#FF7F3F,#3F3F00,#FFBF7F,#7F7F3F
1244,184952,kahlo,250,170,0.39765,0.14929,#3F3F00,#FFFFBF,#3F3F3F,#BF7F3F,#3F3F00,#7F3F3F,#FFFF7F,#003F3F,#FFBF7F,#7F3F3F
1245,184953,kahlo,250,174,0.3977,1.58716,#BFBF7F,#3F3F3F,#FFBF7F,#BF7F3F,#3F003F,#7F3F3F,#FFFF7F,#FFBF3F,#3F3F00,#FF7F3F
